flightNumber;company;plane;dep_date;dep_time;dep_airport_code;dep_weather_min;dep_weather_max;dep_weather_desc;arr_date;arr_time;arr_airport_code;arr_weather_min;arr_weather_max;arr_weather_desc;dep_delay;arr_delay;dep_int;arr_int
KLM1698;K.L.M. ROYAL DUTCH AIRLINES;BOEING 737-800 WINGLETS;07/06/18;06:00;MAD;12;22;Nubes altas;;;AMS;;;;21.0;;False;True
DLH1121;LUFTHANSA;AIRBUS A321;07/06/18;06:10;MAD;12;22;Nubes altas;;;FRA;;;;-1.0;;False;True
ANE2753;AIR NOSTRUM L.A. MEDITERRANEO;BOMBARDIER CRJ-1000;07/06/18;06:15;MAD;12;22;Nubes altas;;;HME;;;;1.0;;False;True
RYR5993;RYANAIR;BOEING 737-800 WINGLETS;07/06/18;06:15;MAD;12;22;Nubes altas;;;STN;;;;2.0;;False;True
RYR2526;RYANAIR;BOEING 737-800 WINGLETS;07/06/18;06:15;MAD;12;22;Nubes altas;;;SXF;;;;3.0;;False;True
BEL3732;BRUSSELS AIRLINES N.V./S.A.;AIRBUS A320;07/06/18;06:20;MAD;12;22;Nubes altas;;;BRU;;;;1.0;;False;True
AFR1401;AIR FRANCE;AIRBUS A321;07/06/18;06:20;MAD;12;22;Nubes altas;;;CDG;;;;2.0;;False;True
RYR6341;RYANAIR;BOEING 737-800 WINGLETS;07/06/18;06:05;BCN;17;23;Chubascos dispersos;;;FCO;;;;2.0;;False;True
AFR1449;AIR FRANCE;AIRBUS A320;07/06/18;06:15;BCN;17;23;Chubascos dispersos;;;CDG;;;;0.0;;False;True
RYR6353;RYANAIR;BOEING 737-800 WINGLETS;07/06/18;06:15;BCN;17;23;Chubascos dispersos;;;BGY;;;;2.0;;False;True
IBE0511;IBERIA;AIRBUS A319;07/06/18;06:35;LCG;14;20;Lluvia moderada;07/06/18;07:50;MAD;12;22;Nubes altas;3.0;-5.0;False;False
IBK5030;NORWEGIAN AIR INTERNATIONAL;BOEING 737-800 WINGLETS;07/06/18;06:00;AGP;18;30;Buen tiempo;;;TRF;;;;5.0;;False;True
SAS6000;SCANDINAVIAN AIRLINES SYSTEM;32A;07/06/18;06:00;AGP;18;30;Buen tiempo;;;ARN;;;;13.0;;False;True
IBK5050;NORWEGIAN AIR INTERNATIONAL;BOEING 737-800 WINGLETS;07/06/18;06:10;AGP;18;30;Buen tiempo;;;ARN;;;;0.0;;False;True
RYR2575;RYANAIR;BOEING 737-800 WINGLETS;07/06/18;06:25;AGP;18;30;Buen tiempo;;;EIN;;;;7.0;;False;True
RYR8007;RYANAIR;BOEING 737-800 WINGLETS;07/06/18;06:25;AGP;18;30;Buen tiempo;;;ABZ;;;;12.0;;False;True
AEA1039;AIR EUROPA;BOEING 737-800 WINGLETS;07/06/18;06:30;AGP;18;30;Buen tiempo;;;CDG;;;;2.0;;False;True
RYR2577;RYANAIR;BOEING 737-800 WINGLETS;07/06/18;06:30;AGP;18;30;Buen tiempo;;;VST;;;;0.0;;False;True
IBE0443;IBERIA;AIRBUS A320;07/06/18;06:45;BIO;12;24;Nubosidad variable;07/06/18;07:50;MAD;12;22;Nubes altas;-6.0;-9.0;False;False
ANE8397;AIR NOSTRUM L.A. MEDITERRANEO;BOMBARDIER CRJ-1000;07/06/18;06:00;ALC;16;25;Buen tiempo;;;MAD;;;;1.0;;False;False
VLG7396;VUELING AIRLINES;32A;07/06/18;06:30;ALC;16;25;Buen tiempo;;;ALG;;;;6.0;;False;True
IBK5350;NORWEGIAN AIR INTERNATIONAL;BOEING 737-800 WINGLETS;07/06/18;06:30;ALC;16;25;Buen tiempo;;;ARN;;;;2.0;;False;True
RYR7522;RYANAIR;BOEING 737-800 WINGLETS;06/06/18;20:05;ALC;16;25;Buen tiempo;;;EIN;;;;50.0;;False;True
